District,State,Hispanic,White,Black,AmericanIndian,Asian,PacificIslander,Other,Multiple races,Total
3,North Carolina,"52,881","531,195","138,766","1,961","10,204",328,"1,887","19,753","756,975"
4,North Carolina,"98,365","386,308","250,211","4,025","49,236",698,"2,691","19,529","811,063"
5,North Carolina,"66,165","565,482","96,270","2,274","13,731",306,"2,269","8,714","755,211"
6,North Carolina,"45,774","551,476","120,231","1,617","17,187",120,"1,281","15,874","753,560"
7,North Carolina,"80,286","541,189","128,389","14,466","6,319",46,302,"14,127","785,124"
8,North Carolina,"70,346","459,793","147,496","52,657","6,914",0,"1,218","11,679","750,103"
9,North Carolina,"73,738","586,465","109,652","2,267","38,797",0,"1,284","16,726","828,929"
10,North Carolina,"47,724","589,567","87,342","2,452","11,303",0,"1,462","12,059","751,909"
11,North Carolina,"44,068","637,584","23,210","12,180","8,945",224,"2,825","10,748","739,784"
12,North Carolina,"111,545","228,235","388,188","2,700","40,913",46,"3,073","19,264","793,964"
13,North Carolina,"66,594","544,009","143,303",980,"19,384",0,"1,477","15,745","791,492"
1,North Dakota,"26,059","650,304","15,387","36,789","9,696",445,434,"17,814","756,928"
1,Ohio,"19,620","506,408","160,670",578,"23,054",94,"1,307","18,246","729,977"
2,Ohio,"15,906","628,340","60,591","1,325","9,611",0,443,"14,509","730,725"
3,Ohio,"50,828","408,162","248,340","1,223","27,041",145,"1,289","30,267","767,295"
4,Ohio,"26,492","627,023","37,484","1,948","6,601",0,"1,391","12,363","713,302"
5,Ohio,"37,265","643,068","19,393",449,"8,551",224,273,"12,255","721,478"
6,Ohio,"6,673","659,971","16,492","1,249","3,024",0,694,"11,114","699,217"
7,Ohio,"15,688","678,938","28,669",584,"5,315",60,475,"15,862","745,591"
8,Ohio,"24,413","627,646","40,873",495,"13,535","1,975",452,"18,200","727,589"
9,Ohio,"75,476","481,966","119,463","1,294","9,161",368,819,"21,205","709,752"
10,Ohio,"19,324","541,200","117,936","1,063","15,091",141,"1,838","23,448","720,041"
11,Ohio,"31,991","264,840","367,843","1,516","18,374",63,"1,371","18,491","704,489"
12,Ohio,"16,335","660,212","35,607","1,263","27,689",76,"2,981","21,134","765,297"
13,Ohio,"23,303","577,060","80,048","1,036","11,694",32,130,"16,674","709,977"
14,Ohio,"18,315","640,316","30,844",512,"14,338",141,394,"11,224","716,084"
15,Ohio,"14,839","662,985","29,820",352,"22,605",302,"1,051","15,537","747,491"
16,Ohio,"14,734","647,528","15,433",857,"15,752",299,70,"10,445","705,118"
1,Oklahoma,"86,140","515,404","68,614","40,495","20,636",214,"1,821","59,370","792,694"
2,Oklahoma,"38,464","483,538","26,084","120,126","3,771","1,527",415,"77,005","750,930"
3,Oklahoma,"76,060","578,584","29,051","43,984","10,692",394,255,"40,693","779,713"
4,Oklahoma,"65,597","553,761","49,479","34,563","17,884",607,"1,420","54,693","778,004"
5,Oklahoma,"130,203","466,224","107,598","33,874","24,945",543,"1,214","45,396","809,997"
